Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
83,Jewerl Thomas,26,KAN,RB,10,1,,1,2,50.0,18,1,50.0,1,50.0,1,50.0,18,9.0,-3.50,18.0,1.8,81.2,0,0,0.00,9.00,-3.50,0,0,,ThomJe01
84,Ron Springs,27,DAL,FB,16,14,,1,2,50.0,15,1,50.0,0,0.0,1,50.0,15,7.5,17.50,15.0,0.9,114.6,0,0,0.00,7.50,17.50,0,0,,SpriRo00
85,Carl Birdsong,24,STL,P,16,0,,1,1,100.0,11,0,0.0,0,0.0,1,100.0,11,11.0,11.00,11.0,0.7,112.5,0,0,0.00,11.00,11.00,0,0,PB,BirdCa20
86,Theotis Brown,26,KAN,FB,12,9,,1,1,100.0,11,0,0.0,0,0.0,1,100.0,11,11.0,11.00,11.0,0.9,112.5,0,0,0.00,11.00,11.00,0,0,,BrowTh00
87,Steve Largent,29,SEA,WR,15,14,,1,1,100.0,11,0,0.0,0,0.0,1,100.0,11,11.0,11.00,11.0,0.7,112.5,0,0,0.00,11.00,11.00,0,0,,LargSt00
88,John James,34,HOU,P,16,0,,1,1,100.0,7,0,0.0,0,0.0,1,100.0,7,7.0,7.00,7.0,0.4,95.8,0,0,0.00,7.00,7.00,0,0,,JameJo20
89,Bob Holly,23,WAS,QB,5,0,,1,1,100.0,5,0,0.0,0,0.0,0,,5,5.0,5.00,5.0,1.0,87.5,1,9,50.00,-2.00,-2.00,0,0,,HollBo00
90,Freeman McNeil,24,NYJ,RB,9,9,,1,1,100.0,5,1,100.0,0,0.0,1,100.0,5,5.0,25.00,5.0,0.6,127.1,0,0,0.00,5.00,25.00,0,0,,McNeFr00
91,Benny Perrin,24,STL,FS,16,16,,1,1,100.0,4,0,0.0,0,0.0,1,100.0,4,4.0,4.00,4.0,0.3,83.3,0,0,0.00,4.00,4.00,0,0,,PerrBe20
92,Joe Cribbs,25,BUF,RB,16,16,,1,2,50.0,3,0,0.0,0,0.0,1,50.0,3,1.5,1.50,3.0,0.2,56.2,0,0,0.00,1.50,1.50,0,0,PB,CribJo00
93,William Andrews,28,ATL,RB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,AndrWi00
