Rk,Player,Age,Team,Pos,G,GS,QBrec▼,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
22,Warren Moon,33,HOU,QB,16,16,9-7-0,280,464,60.3,3631,23,5.0,14,3.0,176,48.5,55,7.8,7.46,13.0,226.9,88.9,35,267,7.01,6.74,6.40,2,3,PB,MoonWa00
23,Dan Marino,28,MIA,QB,16,16,8-8-0,308,550,56.0,3997,24,4.4,22,4.0,186,47.5,78,7.3,6.34,13.0,249.8,76.9,10,86,1.79,6.98,6.07,2,4,,MariDa00
24,Dave Krieg,31,SEA,QB,15,14,7-7-0,286,499,57.3,3309,21,4.2,20,4.0,165,42.2,60,6.6,5.67,11.6,220.6,74.8,37,289,6.90,5.63,4.74,3,4,PB,KrieDa00
25,Doug Williams,34,WAS,QB,4,2,1-1-0,51,93,54.8,585,1,1.1,3,3.2,30,46.3,46,6.3,5.05,11.5,146.3,64.1,2,10,2.11,6.05,4.84,0,0,,WillDo01
26,Steve Pelluer,27,KAN,QB,5,3,1-1-1,26,47,55.3,301,1,2.1,0,0.0,18,38.2,24,6.4,6.83,11.6,60.2,82.0,8,61,14.55,4.36,4.73,0,0,,PellSt00
27,Todd Blackledge,28,PIT,QB,3,2,1-1-0,22,60,36.7,282,1,1.7,3,5.0,14,29.7,30,4.7,2.78,12.8,94.0,36.9,4,25,6.25,4.02,2.22,0,0,,BlacTo00
28,Boomer Esiason,28,CIN,QB,16,15,7-8-0,258,455,56.7,3525,28,6.2,11,2.4,167,47.3,74,7.7,7.89,13.7,220.3,92.1,36,288,7.33,6.59,6.73,0,1,PB,EsiaBo00
29,Jim Kelly,29,BUF,QB,13,13,6-7-0,228,391,58.3,3130,25,6.4,18,4.6,147,48.7,78,8.0,7.21,13.7,240.8,86.2,30,216,7.13,6.92,6.19,2,2,,KellJi00
30,Bobby Hebert,29,NOR,QB,14,13,6-7-0,222,353,62.9,2686,15,4.2,15,4.2,121,48.0,54,7.6,6.55,12.1,191.9,82.7,22,171,5.87,6.71,5.71,1,2,,HebeBo00
31,Mike Tomczak,27,CHI,QB,16,11,5-6-0,156,306,51.0,2058,16,5.2,16,5.2,89,43.4,79,6.7,5.42,13.2,128.6,68.2,10,68,3.16,6.30,5.03,1,1,,TomcMi00
32,Jay Schroeder,28,RAI,QB,11,9,4-5-0,91,194,46.9,1550,8,4.1,13,6.7,60,36.9,84,8.0,5.80,17.0,140.9,60.3,20,132,9.35,6.63,4.64,0,0,,SchrJa00
